id,name,type,smd,place,qty,min,approx,unknown,updatedAt,updatedBy
EC209,EM-18 Reader Module,Module,,UNASSIGNED,8,2,,,2026-09-09T00:00:00.000Z,import
EC210,128x64 dislpay,Display,,DISPLAY BOX,16,1,,,2026-09-09T00:00:00.000Z,import
EC211,JHD 204 A Display,Display,,DISPLAY BOX,1,1,,,2026-09-09T00:00:00.000Z,import
EC212,9V Battery,Battery,,BATTERY BOX,15,2,,,2026-09-09T00:00:00.000Z,import
EC213,9V Battery Cap,Battery,,BATTERY BOX,34,2,,,2026-09-09T00:00:00.000Z,import
EC214,GPS Reciever Module,Module,,UNASSIGNED,6,2,,,2026-09-09T00:00:00.000Z,import
EC215,10 pin IC Base,IC Base,,UNASSIGNED,126,5,,,2026-09-09T00:00:00.000Z,import
EC216,3.7V 1250 mAh Battery,Battery,Yes,SMD BOX,1,2,,,2026-09-09T00:00:00.000Z,import
EC217,3.7V 400 mAh Battery,Battery,Yes,SMD BOX,1,2,,,2026-09-09T00:00:00.000Z,import
EC218,60 GHz mmWave Sensor - Breathing and Heartbeat Module,Module,Yes,SMD BOX,2,2,,,2026-09-09T00:00:00.000Z,import
EC219,60GHz mmwave Radar Sensor Module,Module,Yes,SMD BOX,1,2,,,2026-09-09T00:00:00.000Z,import
EC220,SMD RGB,LED,Yes,SMD BOX,17,5,,,2026-09-09T00:00:00.000Z,import
EC221,bushless Fan,Fan,Yes,SMD BOX,2,1,,,2026-09-09T00:00:00.000Z,import
EC222,JST Connector,Connector,Yes,SMD BOX,40,4,,,2026-09-09T00:00:00.000Z,import
EC223,0 Ωs 62.5mW 0402 1 Resistor,Resistor,Yes,SMD BOX,15,10,,,2026-09-09T00:00:00.000Z,import
EC224,4 pin -1.6 mm Height low profile side push type tact swirch 1.7mm pitch,Switch,Yes,SMD BOX,10,4,,,2026-09-09T00:00:00.000Z,import
EC225,XL Nozzle Kit for air pump,Hardware,Yes,SMD BOX,3,5,,,2026-09-09T00:00:00.000Z,import
EC226,USB TTL Converter,Module,Yes,SMD BOX,1,2,,,2026-09-09T00:00:00.000Z,import
EC227,Heat Sink,Heat Sink,Yes,SMD BOX,2,4,,,2026-09-09T00:00:00.000Z,import
EC228,2 mm Pitch 2 Pin JST Connector,Connector,Yes,SMD BOX,5,4,,,2026-09-09T00:00:00.000Z,import
EC229,Flex PCB AWM 20624 80C 60V VW-1,PCB,Yes,SMD BOX,13,1,,,2026-09-09T00:00:00.000Z,import
EC230,AHT25 Integrated Temparature And Humidity Sensor,Sensor,Yes,SMD BOX,2,2,,,2026-09-09T00:00:00.000Z,import
EC231,Jumper Male Head,Jumper Wire,Yes,SMD BOX,8,5,,,2026-09-09T00:00:00.000Z,import
EC232,Jumper Female Head,Jumper Wire,Yes,SMD BOX,2,5,,,2026-09-09T00:00:00.000Z,import
EC233,R5F100BCA MCU,IC,Yes,SMD BOX,6,4,,,2026-09-09T00:00:00.000Z,import
EC234,724834-C_13 (World's Lowest Power),IC,Yes,SMD BOX,0,4,,,2026-09-09T00:00:00.000Z,import
EC235,WS2812B - 2020 - Addressable RGB Pixel Led,LED,Yes,SMD BOX,3,5,,,2026-09-09T00:00:00.000Z,import
EC236,652 - CDSOD323 - T05LC (TVS Diode),Diode,Yes,SMD BOX,0,5,,,2026-09-09T00:00:00.000Z,import
EC237,PM20631,Misc,Yes,SMD BOX,0,2,,,2026-09-09T00:00:00.000Z,import
EC238,NCP176AMX330TCG (IC REG LINER 3.3V 500MA 6-XDFN),Resistor,Yes,SMD BOX,0,10,,,2026-09-09T00:00:00.000Z,import
EC239,"DF2S6.8FS,L3M (TVS Diode 5VWM 9VC SOD923)",Diode,Yes,SMD BOX,5,5,,,2026-09-09T00:00:00.000Z,import
EC240,W250512JVBIQ-ND (IC Flash 512MBIT SPI 24TFBGA),IC,Yes,SMD BOX,0,4,,,2026-09-09T00:00:00.000Z,import
EC241,TX0104EYZTR (IC XLTR VL BIDIR 12-DSBGA),Transistor,Yes,SMD BOX,0,4,,,2026-09-09T00:00:00.000Z,import
EC242,LQG15HS3N9B02D ( Fixed IND 3.9NH 750MA 0.14Ω SM),Resistor,Yes,SMD BOX,5,10,,,2026-09-09T00:00:00.000Z,import
EC243,CC042KRNPO9BN101 (CAP CER 100PF 50V COG/NPO 0402),Capacitor,Yes,SMD BOX,15,10,,,2026-09-09T00:00:00.000Z,import
EC244,CC042JRNP09BN120 ( CAP CER 12PF 50V COG/NPO 0402),Capacitor,Yes,SMD BOX,0,10,,,2026-09-09T00:00:00.000Z,import
EC245,4.7uf/4700nF 50V 10% Tolerance Capacitor 04025C475KAT2A,Capacitor,Yes,SMD BOX,5,10,,,2026-09-09T00:00:00.000Z,import
EC246,4.7uf/4700nF 50V 10% Tolerance Capacitor 04025C475KAT2A,Capacitor,Yes,SMD BOX,30,10,,,2026-09-09T00:00:00.000Z,import
EC247,10uf 50V 10% Tolerance Capacitor 04025C475KAT2A,Capacitor,Yes,SMD BOX,45,10,,,2026-09-09T00:00:00.000Z,import
EC248,1uf 1000V 10% Tolerance Capacitor 04025C475KAT2A,Capacitor,Yes,SMD BOX,7,10,,,2026-09-09T00:00:00.000Z,import
EC249,10uf 50V 10% Tolerance Capacitor 04025C106KAT2A,Capacitor,Yes,SMD BOX,10,10,,,2026-09-09T00:00:00.000Z,import
EC250,ABS06 - 32.7680KHz 12.fPF SMD,Misc,Yes,SMD BOX,0,2,,,2026-09-09T00:00:00.000Z,import
EC251,50v 0.1uf X7R 0402,Capacitor,Yes,SMD BOX,0,10,,,2026-09-09T00:00:00.000Z,import
EC252,50v 100pf C0G 0402,Capacitor,Yes,SMD BOX,5,10,,,2026-09-09T00:00:00.000Z,import
EC253,LBMF1608T100K (Fixed IND 10UH 80 MA 360MΩ SMD),Inductor,Yes,SMD BOX,5,5,,,2026-09-09T00:00:00.000Z,import
EC254,20566-001E-01(MHF 5 RECEPTACLE),Misc,Yes,SMD BOX,0,2,,,2026-09-09T00:00:00.000Z,import
EC255,MCLA1005V2-150-RT -ND (Fixed IND 15NH 300MA 500MΩ SMD),Inductor,Yes,SMD BOX,5,5,,,2026-09-09T00:00:00.000Z,import
EC256,CL05B104KB5NNNC( CAP CER 0.1uf 50v X7R 0402),Capacitor,Yes,SMD BOX,20,10,,,2026-09-09T00:00:00.000Z,import
EC257,GJM 1555C 1HR80WB01D(CAP CER 0.8PF 50V COG/NPO 0402),Capacitor,Yes,SMD BOX,20,10,,,2026-09-09T00:00:00.000Z,import
EC258,3.9NH +-.1NH murata RF Inductor,Inductor,Yes,SMD BOX,5,5,,,2026-09-09T00:00:00.000Z,import
EC259,15 NH 5% AEC-Q200 Eaton RF Inductor,Inductor,Yes,SMD BOX,5,5,,,2026-09-09T00:00:00.000Z,import
EC260,50v 12 pF C0G 0402,Capacitor,Yes,SMD BOX,20,10,,,2026-09-09T00:00:00.000Z,import
EC261,0.8 pF 50 VDC 0.05 p,Capacitor,Yes,SMD BOX,5,10,,,2026-09-09T00:00:00.000Z,import
EC262,5.6 k0hms 62.5mW 040,Resistor,Yes,SMD BOX,5,10,,,2026-09-09T00:00:00.000Z,import
EC263,LSQBB160808T100K Power inductor,Inductor,Yes,SMD BOX,5,5,,,2026-09-09T00:00:00.000Z,import
EC264,RES 5.6K Ω 1% 1/16 W 0402,Resistor,Yes,SMD BOX,14,10,,,2026-09-09T00:00:00.000Z,import
EC265,ESD Protection diode,Diode,Yes,SMD BOX,0,5,,,2026-09-09T00:00:00.000Z,import
EC266,RES 110K Ω 1% 1/16W 0402,Resistor,Yes,SMD BOX,20,10,,,2026-09-09T00:00:00.000Z,import
EC267,CRYSTAL 32.0000MHZ 12PF SMD,Oscillator,Yes,SMD BOX,0,5,,,2026-09-09T00:00:00.000Z,import
EC268,100k Ωs 62.5 mW 040,Resistor,Yes,SMD BOX,0,10,,,2026-09-09T00:00:00.000Z,import
EC269,RES 0 ΩS Jumper 1/16 W 0402,Resistor,Yes,SMD BOX,4,10,,,2026-09-09T00:00:00.000Z,import
